Part Number,List Price,MAP Price,Currency,Product Type,Product Category,Product Sub Category,Product Sub Category Type,Product Model/Type,Product Friendly Name,Item Type,Short Marketing Description,Marketing Product Type,Feature Bullet 1,Feature Bullet 2,Feature Bullet 3,Feature Bullet 4,Feature Bullet 5,Image URL,Discount Group,Product Access Code,Spec Sheet URL,Status,Upcoming EOL date,TAA Compliant,GTIN
"P1058930-009","603.160000","","EUR","Accessories,RepairParts","Print Heads and Platen Rollers","Print Heads","Thermal Transfer Print Heads","","","Accessories","Kit, Printhead 203 dpi, ZT410, ZT411","Accessories","Certified Zebra Accessory.","Zebra accessories are manufactured to meet all of Zebra's standards.","This genuine accessory is made to work with select Zebra Printers.","Built to ensure the highest quality, reliability, and performance.","Works with Zebra's high-end performance products.","https://www.zebra.com/content/dam/zebra_dam/global/photography/product/0005/p1058930-009-photography-product-accessory-printhead-2000x2000.jpg","Z2","1-Open","","Production","","","663056006510",
"P1058930-010","703.690000","","EUR","Accessories,RepairParts","Print Heads and Platen Rollers","Print Heads","Thermal Transfer Print Heads","","","Accessories","Kit, Printhead 300 dpi, ZT410, ZT411","Accessories","Certified Zebra Accessory.","Zebra accessories are manufactured to meet all of Zebra's standards.","This genuine accessory is made to work with select Zebra Printers.","Built to ensure the highest quality, reliability, and performance.","Works with Zebra's high-end performance products.","","Z2","1-Open","","Production","","","663056006527",
"P1058930-013","1036.180000","","EUR","Accessories,RepairParts","Print Heads and Platen Rollers","Print Heads","Thermal Transfer Print Heads","","","Accessories","Kit, Printhead 300 dpi, ZT420, ZT421","Accessories","Certified Zebra Accessory.","Zebra accessories are manufactured to meet all of Zebra's standards.","This genuine accessory is made to work with select Zebra Printers.","Built to ensure the highest quality, reliability, and performance.","Works with Zebra's high-end performance products.","","Z2","1-Open","","Production","","","663056006558",
"P1083320-011","800.900000","","EUR","Accessories,RepairParts","Print Heads and Platen Rollers","Print Heads","Thermal Transfer Print Heads","","","Accessories","Kit Printhead 300 dpi ZT610, ZT610R","Accessories","Certified Zebra Accessory.","Zebra accessories are manufactured to meet all of Zebra's standards.","This genuine accessory is made to work with select Zebra Printers.","Built to ensure the highest quality, reliability, and performance.","Works with Zebra's high-end performance products.","","Z2","1-Open","","Production","","","663056006725",
"P1037974-011","640.540000","","EUR","Accessories,RepairParts","Print Heads and Platen Rollers","Print Heads","Thermal Transfer Print Heads","","P1037974-011","Accessories","Kit, Printhead 300 dpi, ZT210, ZT220, ZT230","Accessories","Certified Zebra Accessory.","Zebra accessories are manufactured to meet all of Zebra's standards.","This genuine accessory is made to work with select Zebra Printers.","Built to ensure the highest quality, reliability, and performance.","Works with Zebra's high-end performance products.","","Z2","1-Open","","Production","","","663056006480",
"P1112640-218","162.380000","","EUR","Accessories,RepairParts","Print Heads and Platen Rollers","Print Heads","Thermal Transfer Print Heads","","","Accessories","Kit, Printhead 203 dpi, ZD421T","Accessories","_","","","","","","Z2","1-Open","","Production","","","663056015154",
"P1083320-016","1014.920000","","EUR","Accessories,RepairParts","Print Heads and Platen Rollers","Print Heads","Thermal Transfer Print Heads","","","Accessories","Kit Printhead 300 dpi ZT620, ZT620R","Accessories","Certified Zebra Accessory.","Zebra accessories are manufactured to meet all of Zebra's standards.","This genuine accessory is made to work with select Zebra Printers.","Built to ensure the highest quality, reliability, and performance.","Works with Zebra's high-end performance products.","","Z2","1-Open","","Production","","","663056006756",
"P1115690","157.000000","","EUR","Accessories,RepairParts","Print Heads and Platen Rollers","Print Heads","Thermal Transfer Print Heads","","","Accessories","Kit, 203 dpi Printhead, Qty of 1, ZD220/ZD230/ZD888 TT","Accessories","Certified Zebra Accessory.","Zebra accessories are manufactured to meet all of Zebra's standards.","This genuine accessory is made to work with select Zebra Printers.","Built to ensure the highest quality, reliability, and performance.","Works with Zebra's high-end performance products.","","Z2","1-Open","","Production","","","663056026488",
"P1037974-010","478.380000","","EUR","Accessories,RepairParts","Print Heads and Platen Rollers","Print Heads","Thermal Transfer Print Heads","","P1037974-010","Accessories","Kit, Printhead 203 dpi, ZT210, ZT220, ZT230","Accessories","Certified Zebra Accessory.","Zebra accessories are manufactured to meet all of Zebra's standards.","This genuine accessory is made to work with select Zebra Printers.","Built to ensure the highest quality, reliability, and performance.","Works with Zebra's high-end performance products.","https://www.zebra.com/content/dam/zebra_dam/global/photography/product/0010/p1037974-010-photography-product-accessory-printhead.jpg","Z2","1-Open","","Production","","","663056006473",
"P1058930-012","665.030000","","EUR","Accessories,RepairParts","Print Heads and Platen Rollers","Print Heads","Thermal Transfer Print Heads","","","Accessories","Kit, Printhead 203 dpi, ZT420, ZT421","Accessories","Certified Zebra Accessory.","Zebra accessories are manufactured to meet all of Zebra's standards.","This genuine accessory is made to work with select Zebra Printers.","Built to ensure the highest quality, reliability, and performance.","Works with Zebra's high-end performance products.","","Z2","1-Open","","Production","","","663056006596",
"P1058930-011","1855.860000","","EUR","Accessories,RepairParts","Print Heads and Platen Rollers","Print Heads","Thermal Transfer Print Heads","","","Accessories","Kit, Printhead 600 dpi, ZT410, ZT411","Accessories","Certified Zebra Accessory.","Zebra accessories are manufactured to meet all of Zebra's standards.","This genuine accessory is made to work with select Zebra Printers.","Built to ensure the highest quality, reliability, and performance.","Works with Zebra's high-end performance products.","","Z2","1-Open","","Production","","","663056006534",
"P1083347-005","635.190000","","EUR","Accessories,RepairParts","Print Heads and Platen Rollers","Print Heads","Thermal Transfer Print Heads","","","Accessories","Kit Printhead 203 dpi ZT510","Accessories","Certified Zebra Accessory.","Zebra accessories are manufactured to meet all of Zebra's standards.","This genuine accessory is made to work with select Zebra Printers.","Built to ensure the highest quality, reliability, and performance.","Works with Zebra's high-end performance products.","","Z2","1-Open","","Production","","","663056006763",
"P1112640-240","162.380000","","EUR","Accessories,RepairParts","Print Heads and Platen Rollers","Print Heads","Thermal Transfer Print Heads","","","Accessories","Kit, Printhead 203 dpi, ZD621T","Accessories","_","","","","","","Z2","1-Open","","Production","","","663056026402",
"P1004238","1102.710000","","EUR","Accessories,RepairParts","Print Heads and Platen Rollers","Print Heads","Thermal Transfer Print Heads","","","Accessories","Kit Printhead 203dpi 220Xi4","Accessories","Certified Zebra Accessory.","Zebra accessories are manufactured to meet all of Zebra's standards.","This genuine accessory is made to work with select Zebra Printers.","Built to ensure the highest quality, reliability, and performance.","Works with Zebra's high-end performance products.","","Z2","1-Open","","Production","","","663056024996",
"P1083320-010","718.040000","","EUR","Accessories,RepairParts","Print Heads and Platen Rollers","Print Heads","Thermal Transfer Print Heads","","","Accessories","Kit Printhead 203 dpi ZT610, ZT610R","Accessories","Certified Zebra Accessory.","Zebra accessories are manufactured to meet all of Zebra's standards.","This genuine accessory is made to work with select Zebra Printers.","Built to ensure the highest quality, reliability, and performance.","Works with Zebra's high-end performance products.","","Z2","1-Open","","Production","","","663056006718",
"P1112640-241","330.960000","","EUR","Accessories,RepairParts","Print Heads and Platen Rollers","Print Heads","Thermal Transfer Print Heads","","","Accessories","Kit, Printhead 300 dpi, ZD621T","Accessories","_","","","","","","Z2","1-Open","","Production","","","663056026419",
"P1083320-015","890.660000","","EUR","Accessories,RepairParts","Print Heads and Platen Rollers","Print Heads","Thermal Transfer Print Heads","","","Accessories","Kit Printhead 203 dpi ZT620, ZT620R","Accessories","Certified Zebra Accessory.","Zebra accessories are manufactured to meet all of Zebra's standards.","This genuine accessory is made to work with select Zebra Printers.","Built to ensure the highest quality, reliability, and performance.","Works with Zebra's high-end performance products.","","Z2","1-Open","","Production","","","663056006749",
"P1112640-219","330.960000","","EUR","Accessories,RepairParts","Print Heads and Platen Rollers","Print Heads","Thermal Transfer Print Heads","","","Accessories","Kit, Printhead 300 dpi, ZD421T","Accessories","_","","","","","","Z2","1-Open","","Production","","","663056015161",
"P1004239","1159.470000","","EUR","Accessories,RepairParts","Print Heads and Platen Rollers","Print Heads","Thermal Transfer Print Heads","","","Accessories","Kit Printhead 300dpi 220Xi4","Accessories","Certified Zebra Accessory.","Zebra accessories are manufactured to meet all of Zebra's standards.","This genuine accessory is made to work with select Zebra Printers.","Built to ensure the highest quality, reliability, and performance.","Works with Zebra's high-end performance products.","","Z2","1-Open","","Production","","","663056025009",
"P1083347-006","704.230000","","EUR","Accessories,RepairParts","Print Heads and Platen Rollers","Print Heads","Thermal Transfer Print Heads","","","Accessories","Kit Printhead 300 dpi ZT510","Accessories","Certified Zebra Accessory.","Zebra accessories are manufactured to meet all of Zebra's standards.","This genuine accessory is made to work with select Zebra Printers.","Built to ensure the highest quality, reliability, and performance.","Works with Zebra's high-end performance products.","","Z2","1-Open","","Production","","","663056006770",
"P1105147-300","780.170000","","EUR","Accessories,RepairParts","Print Heads and Platen Rollers","Print Heads","Thermal Transfer Print Heads","","","Accessories","Kit, 203dpi Printhead for On-Metal RFID, ZT411","Accessories","_","","","","","","Z2","1-Open","","Production","","","663056026181",
"P1117258-232","126.810000","","EUR","Accessories,RepairParts","Print Heads and Platen Rollers","Print Heads","Thermal Transfer Print Heads","","","Accessories","Kit, Printhead, 203dpi, ZD411T, ZD611T","Accessories","_","","","","","https://www.zebra.com/content/dam/zebra_dam/global/photography/product/0017/p117258-232-photography-product-accessories-printers.png","Z2","1-Open","","Production","","","663056026662",
"P1115688","1565.880000","","EUR","Accessories","Print Heads and Platen Rollers","Print Heads","Thermal Transfer Print Heads","","","Accessories","Kit, 203 dpi Printhead, Qty of 10, ZD220/ZD230/ZD888 TT","Accessories","_","","","","","","Z2","1-Open","","Production","","","663056026471",
"P1083320-012","1021.810000","","EUR","Accessories,RepairParts","Print Heads and Platen Rollers","Print Heads","Thermal Transfer Print Heads","","","Accessories","Kit Printhead 600 dpi ZT610, ZT610R","Accessories","Certified Zebra Accessory.","Zebra accessories are manufactured to meet all of Zebra's standards.","This genuine accessory is made to work with select Zebra Printers.","Built to ensure the highest quality, reliability, and performance.","Works with Zebra's high-end performance products.","","Z2","1-Open","","Production","","","663056006732",
"P1117258-233","143.930000","","EUR","Accessories,RepairParts","Print Heads and Platen Rollers","Print Heads","Thermal Transfer Print Heads","","","Accessories","Kit, Printhead, 300dpi, ZD411T, ZD611T","Accessories","_","","","","","https://www.zebra.com/content/dam/zebra_dam/global/photography/product/0017/p117258-233-photography-product-accessories-printers.png","Z2","1-Open","","Production","","","663056026679",
"P1105147-301","883.730000","","EUR","Accessories,RepairParts","Print Heads and Platen Rollers","Print Heads","Thermal Transfer Print Heads","","","Accessories","Kit, 300dpi Printhead for On-Metal RFID, ZT411","Accessories","_","","","","","https://www.zebra.com/content/dam/zebra_dam/global/photography/product/0023/p1105147-301-photography-product-accessories.png","Z2","1-Open","","Production","","","",
"P1112640-250","180.910000","","EUR","Accessories","Print Heads and Platen Rollers","Print Heads","Thermal Transfer Print Heads","","","Accessories","Kit, 203dpi Routine Maintenance, Includes 203dpi Printhead, 203dpi Platen Roller & 47362 Preventative Maintenance Kit (6 Presaturated Foam Tip Swabs), ZD621T, ZD621R","Accessories","_","","","","","","Z2","1-Open","","Production","","","",
"P1112640-253","180.910000","","EUR","Accessories","Print Heads and Platen Rollers","Print Heads","Thermal Transfer Print Heads","","","Accessories","Kit, Standard Model, 203dpi Routine Maintenance, Includes 203dpi Printhead, 203dpi Platen Roller & 47362 Preventative Maintenance Kit (6 Presaturated Foam Tip Swabs), ZD421T","Accessories","_","","","","","","Z2","1-Open","","Production","","","",
"105934-038","157.650000","","EUR","Accessories,RepairParts","Print Heads and Platen Rollers","Print Heads","Thermal Transfer Print Heads","","","Accessories","Printhead, 203dpi (Thermal Transfer)","Accessories","Certified Zebra Accessory.","Zebra accessories are manufactured to meet all of Zebra's standards.","This genuine accessory is made to work with select Zebra Printers.","Built to ensure the highest quality, reliability, and performance.","Works with Zebra's high-end performance products.","","Z2","1-Open","","Pending End of Sale","","","663056024446",
"P1080383-227","321.320000","","EUR","Accessories,RepairParts","Print Heads and Platen Rollers","Print Heads","Thermal Transfer Print Heads","","","Accessories","Kit, Printhead 300 dpi, ZD420T ZD620T","Accessories","Certified Zebra Accessory.","Zebra accessories are manufactured to meet all of Zebra's standards.","This genuine accessory is made to work with select Zebra Printers.","Built to ensure the highest quality, reliability, and performance.","Works with Zebra's high-end performance products.","","Z2","1-Open","","Pending End of Sale","","","663056013983",
"105934-039","321.320000","","EUR","Accessories,RepairParts","Print Heads and Platen Rollers","Print Heads","Thermal Transfer Print Heads","","","Accessories","Printhead, 300dpi (Thermal Transfer)","Accessories","Certified Zebra Accessory.","Zebra accessories are manufactured to meet all of Zebra's standards.","This genuine accessory is made to work with select Zebra Printers.","Built to ensure the highest quality, reliability, and performance.","Works with Zebra's high-end performance products.","","Z2","1-Open","","Pending End of Sale","","","663056024453",
"P1080383-226","157.650000","","EUR","Accessories,RepairParts","Print Heads and Platen Rollers","Print Heads","Thermal Transfer Print Heads","","","Accessories","Kit, Printhead 203 dpi, ZD420T ZD620T","Accessories","Certified Zebra Accessory.","Zebra accessories are manufactured to meet all of Zebra's standards.","This genuine accessory is made to work with select Zebra Printers.","Built to ensure the highest quality, reliability, and performance.","Works with Zebra's high-end performance products.","","Z2","1-Open","","Pending End of Sale","","","663056013976",
"P1053360-018","637.070000","","EUR","Accessories,RepairParts","Print Heads and Platen Rollers","Print Heads","Thermal Transfer Print Heads","","","Accessories","Kit Printhead 203dpi 105SL Plus","Accessories","Certified Zebra Accessory.","Zebra accessories are manufactured to meet all of Zebra's standards.","This genuine accessory is made to work with select Zebra Printers.","Built to ensure the highest quality, reliability, and performance.","Works with Zebra's high-end performance products.","","Z2","1-Open","","Pending End of Sale","","","663056015512",
"G105910-148","127.630000","","EUR","Accessories,RepairParts","Print Heads and Platen Rollers","Print Heads","Thermal Transfer Print Heads","","","Accessories","Printhead Assy., (203 dpi)","Accessories","Certified Zebra Accessory.","Zebra accessories are manufactured to meet all of Zebra's standards.","This genuine accessory is made to work with select Zebra Printers.","Built to ensure the highest quality, reliability, and performance.","Works with Zebra's high-end performance products.","","Z2","1-Open","","Pending End of Sale","","","663056024804",
"P1073117-007","320.410000","","EUR","Accessories,RepairParts","Print Heads and Platen Rollers","Print Heads","Thermal Transfer Print Heads","","","Accessories","KIT, PRINTHEAD 300DPI (GT)","Accessories","Certified Zebra Accessory.","Zebra accessories are manufactured to meet all of Zebra's standards.","This genuine accessory is made to work with select Zebra Printers.","Built to ensure the highest quality, reliability, and performance.","Works with Zebra's high-end performance products.","","Z2","1-Open","","Pending End of Sale","","","",
"P1053360-019","777.030000","","EUR","Accessories,RepairParts","Print Heads and Platen Rollers","Print Heads","Thermal Transfer Print Heads","","","Accessories","Kit Printhead 300dpi 105SL Plus","Accessories","Certified Zebra Accessory.","Zebra accessories are manufactured to meet all of Zebra's standards.","This genuine accessory is made to work with select Zebra Printers.","Built to ensure the highest quality, reliability, and performance.","Works with Zebra's high-end performance products.","","Z2","1-Open","","Pending End of Sale","","","663056025474",
